Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
planning.csv,CL_s,7,"{'n_estimators': 40, 'max_depth': 25, 'criterion': 'gini'}",0.7222222222222222,0.2,0.8,0.5,0.5538461538461539,0.3559523809523809,2.7028675079345703,0.2771218617757161
planning.csv,CL_s,8,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.5555555555555556,0.1111111111111111,0.8888888888888888,1.0,0.45679012345679015,0.5609567901234569,2.0437710285186768,0.33220979902479386
planning.csv,CL_s,9,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.6111111111111112,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.375,0.41924019607843144,2.0500617027282715,0.22161006927490234
planning.csv,CL_s,10,"{'n_estimators': 10, 'max_depth': 26, 'criterion': 'entropy'}",0.7777777777777778,0.0,1.0,0.0,0.1875,0.11764705882352941,1.6985104084014893,0.11091762118869358
spambase.csv,CL_s,1,"{'n_estimators': 40, 'max_depth': 25, 'criterion': 'gini'}",0.9522776572668112,0.9329608938547486,0.06703910614525144,0.943502824858757,0.9879749593882484,0.9746129207293076,5.029928207397461,0.01730939571355791
spambase.csv,CL_s,2,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.9521739130434783,0.9162303664921466,0.08376963350785338,0.9668508287292817,0.9902197395823197,0.9840178793906844,4.698683977127075,0.015186745187510616
spambase.csv,CL_s,3,"{'n_estimators': 40, 'max_depth': 45, 'criterion': 'gini'}",0.95,0.930635838150289,0.06936416184971095,0.936046511627907,0.9896880223963264,0.976785493587123,4.779000759124756,0.015173787656037704
spambase.csv,CL_s,4,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9391304347826087,0.900523560209424,0.09947643979057597,0.9502762430939227,0.9866482414994453,0.9755094034855766,4.802327632904053,0.013007288393766983
spambase.csv,CL_s,5,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.9434782608695652,0.8958333333333334,0.10416666666666663,0.9662921348314607,0.9807699782338307,0.9810190195536141,4.739915370941162,0.013076740762461786
spambase.csv,CL_s,6,"{'n_estimators': 30, 'max_depth': 16, 'criterion': 'entropy'}",0.9586956521739131,0.935672514619883,0.06432748538011701,0.9523809523809523,0.9854509399218923,0.9828749598740598,4.690986156463623,0.013076222461202871
spambase.csv,CL_s,7,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9565217391304348,0.9285714285714286,0.0714285714285714,0.9512195121951219,0.9871779191128507,0.9815341369002896,4.87071967124939,0.0130078066950259
spambase.csv,CL_s,8,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9434782608695652,0.8932584269662921,0.1067415730337079,0.9578313253012049,0.9781456689776078,0.9769707366541794,4.871306657791138,0.01735687255859375
spambase.csv,CL_s,9,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9326086956521739,0.8663101604278075,0.1336898395721925,0.9642857142857143,0.9749368278780044,0.9749684748819145,4.751787900924683,0.01734080521956734
spambase.csv,CL_s,10,"{'n_estimators': 40, 'max_depth': 11, 'criterion': 'entropy'}",0.9586956521739131,0.9289617486338798,0.07103825136612019,0.9659090909090909,0.9934702412657079,0.9905210535658009,4.891591787338257,0.013005733489990234
statlog-heart_.csv,CL_s,1,"{'n_estimators': 30, 'max_depth': 27, 'criterion': 'entropy'}",0.7407407407407407,0.8888888888888888,0.11111111111111116,0.5714285714285714,0.8580246913580246,0.7522004230337563,1.4209930896759033,0.18464194403754342
